Geneid,Reference_1,Reference_2,Test_1,Test_2
b0044,0.660362677,1.452544314,1.271882502,1.080598117
b0045,0.461033427,0.644613024,0.688663839,0.567666556
b0046,4.745054272,4.93897011,5.30590953,5.450618131
b0047,4.539440082,4.455723476,4.844043259,4.873982978
b0048,6.627445011,6.840380868,6.530828068,6.709936859
b0049,6.309863722,6.357513007,6.400815917,6.520109172
b0050,6.89049441,7.000473863,7.297354621,7.315441335
b0051,7.724500951,7.716587564,7.802931413,7.87722518
b0052,7.386585711,7.565823856,7.328121333,7.372044158
b0053,8.653358773,8.709545952,8.650915561,8.646322928
b0054,8.537453771,8.613325214,8.729030551,8.670148351
b0055,5.831141131,5.697135533,5.537262116,5.744097747
b0056,5.4556876,5.369500452,5.439750026,5.423740449
b0057,5.85243599,5.088901811,5.558471583,5.912593009
b0058,5.557675289,5.64056092,5.266940955,5.376508501
b0059,6.147169197,6.309159287,6.043635092,5.988256012
b0060,4.056359599,4.229506957,4.515454126,4.632266661
b0061,1.864803935,2.308288552,2.579196629,1.971530751
b0062,1.785363458,2.367440054,2.58861585,2.338876018
b0063,1.568346488,1.923624144,2.392806221,1.814308628
b0064,5.22946263,5.391434803,5.565416186,5.69421419
b0065,4.338492679,4.578108565,4.496398284,4.467703534
b0066,4.903968066,5.372719285,5.281289202,5.103514035
b0067,5.051790219,5.198038221,5.150698394,5.245629849
b0068,7.524725709,7.761908805,8.021248655,8.013815387
b0069,4.905616515,5.058381427,4.934848201,4.892239635
b4662,5.13732082,4.782788382,5.860591406,6.110844091
b0070,4.237745219,3.886467596,4.08607031,3.989883617
b0071,9.95690173,9.982083257,10.23927944,10.30177309
b0072,9.86103525,9.983487009,10.30402964,10.3147128
b0073,9.667126517,9.763328197,10.23691408,10.22871164
b0074,9.261563882,9.312500509,10.30812081,10.27275372
b0075,9.374926588,9.468051728,9.690769612,10.31270908
b0076,2.735751996,2.653843934,2.574928065,2.467393987
b4726,0,0,0,0
b0077,8.132866805,8.211873917,8.092075212,8.1535134
b0078,7.766780663,7.768650901,7.937218652,8.066863955
b0080,7.305582256,7.243803873,6.722461429,6.689846487
b0081,7.751725846,7.752847827,7.964494686,7.846870756
b0082,7.363072728,7.465730951,7.350517581,7.364944074
b0083,7.317408614,7.195329562,7.303500233,7.097850899
b0084,6.704810627,6.512656113,6.595365915,6.734944051
b0085,7.014631804,7.231332573,7.091046013,7.117046644
b0086,6.993901237,7.132580204,6.9286843,6.894562304
b0087,6.515043523,6.555679028,6.347279298,6.406108815
b0088,6.865932596,7.021815181,6.688913601,6.692082215
b0089,6.279354289,6.432630305,6.080688162,6.235790889
b0090,6.475280341,6.65148799,6.55154975,6.669851283
b0091,6.877118888,7.066319069,6.831688648,6.854471633
b0092,7.1775428,7.291017842,7.19416227,7.191298978
b0093,7.119019141,7.20826399,7.37069481,7.353533325
b0094,6.970669657,7.0476149,7.062553252,7.2544777
b0095,9.205737854,9.324290292,9.43006249,9.439780411
b0096,9.719842157,9.695688248,9.811844937,9.878177752
b0097,8.87434978,8.90621656,8.425092075,8.331341825
b0098,7.65447802,7.649184282,7.722985362,7.684876092
b0099,4.342682257,4.665056473,4.345386421,4.337054777
b0101,6.89732289,6.599962918,7.035165679,6.988131933
b0102,6.864146178,6.954661257,6.992886424,7.051281051
b0103,6.644845073,6.894923419,6.633058716,6.490802528
b4727,0,0,1.706474507,1.756374502
b0104,8.875126848,8.847809861,8.956101467,8.959763997
b0106,2.408168472,2.245603552,2.624130213,2.78074241
b0107,2.657009905,2.597604775,2.914753774,2.796224179
b0108,1.095766961,0.648145121,0.944054691,0.570855535
b0109,6.791412151,7.064910507,6.751711381,6.727870679
b0110,5.762965224,5.826089082,6.091076894,5.910225324
b0111,4.865737218,5.126543421,5.142076921,4.97932555
b0112,9.313732281,9.37457002,8.848204852,8.763475738
b0113,7.871445453,8.023857101,7.743576895,7.736364056
b0114,9.982691406,10.04260312,10.39395172,10.36501744
b0115,9.325794126,9.424714531,9.758764007,9.801855321
b0116,10.60443449,10.83145072,10.46279356,10.44841907
b0117,1.853986613,1.719571836,2.027426359,2.213190727
b0118,10.62652308,10.73865681,9.456624877,9.409958667
b0119,6.910270008,7.304660876,6.692431012,6.75924204
b0120,8.654129601,8.719840661,9.086478404,9.060706747
b0121,8.646463933,8.733509392,8.84521529,8.797028215
b0122,7.542515759,7.503017453,6.709005266,6.630992468
b0123,7.447394572,7.553822575,6.908521835,7.036584233
b0124,7.048533493,7.314378957,7.612772096,7.542020228
b0125,8.066689561,8.06795712,7.493905038,7.461045623
b0126,10.58008827,10.55923547,10.62930984,10.58565197
b0127,6.295495374,6.268405762,6.393566774,6.372626424
b0128,5.499333208,5.485242815,5.674481971,5.824450874
b0129,4.204617288,4.077264894,3.80064004,4.129591459
b0130,3.519243428,3.870275722,4.064791632,4.300766501
b0131,9.916377343,9.781375602,9.603018533,9.696485125
b0132,3.00633121,2.82651527,2.893341469,2.864341289
b0133,8.2808882,8.24632004,8.714414722,8.636522161
b0134,8.156376881,8.203811279,8.405166684,8.365311206
b0135,1.938673074,1.59391622,2.044089421,2.069105122
b0136,1.422331507,0.878060599,1.436294401,1.655988005
b0137,1.800266133,1.797584372,2.469482924,2.655030058
b0138,2.176176332,1.21187796,2.193501126,2.067697606
b0139,1.272425664,1.107862676,1.584780213,1.574096426
b0140,0.745740606,0,0.754746418,0.519367176
b0141,1.099698401,0.513536586,0.903519843,0.63122547
b0142,6.494442987,6.425166507,6.336153365,6.364373304
b0143,8.451479956,8.722836025,8.53584345,8.491515469
b0144,5.287340387,5.172940411,4.880691259,4.684172752
b0145,10.26605207,10.05079235,10.14293953,10.14658979
b0146,5.738935827,5.852085478,5.804902923,5.841078477
b0147,5.345871989,5.735623032,5.374227551,5.347259199
b0148,4.868243397,5.040346793,4.868462179,4.873888756
b0149,5.872154367,6.070469927,6.017251218,5.941605303
b0150,8.265459783,8.259786409,8.554224406,8.49477267
b0151,6.097144571,6.377082795,6.227050765,6.364813607
b0152,5.518646461,5.763815319,5.890092697,5.718467615
b0153,4.349811915,4.69194925,4.689903915,4.78709154
b0154,7.744886594,7.683843845,7.687602577,7.66674728
b0155,4.874467323,5.112482563,5.629239402,5.692953836
b4728,7.132527216,7.179959338,6.923429681,6.818859422
b0156,8.63965066,8.43800102,7.694101057,7.702089792
b0157,4.416937567,4.623433956,4.397718999,4.443243866
b0158,4.84592549,4.863081127,4.483140773,4.692303566
b0159,8.526850885,8.55593101,8.472739126,8.368578562
b0160,5.264701348,5.299770785,5.33111476,5.349318875
b0161,7.197966843,7.293338619,7.929715273,7.913196208
b0162,2.960752373,2.35156356,2.766736297,2.846528569
b0163,8.240913197,8.192177209,8.513919503,8.542967141
b0164,3.802686326,4.163529619,3.58805691,3.837607357
b0166,10.34263645,10.4733483,10.23698464,10.17852484
b0167,6.071104951,6.200009191,6.497669464,6.460263919
b0168,8.743197118,8.707950355,8.828793307,8.837309346
b0169,12.43482712,12.54982259,11.8237634,11.79952153
b0170,10.63852501,10.65810387,10.40889503,10.42476724
b0171,8.566466189,8.647371178,8.226767512,8.225887922
b0172,10.41224536,10.55150423,10.22704994,10.20794105
b0173,4.847656355,4.888804182,4.88303603,4.989107024
b0174,7.308565412,7.547731094,7.380484497,7.444509376
b0175,6.951322366,7.033562383,6.616389821,6.786619673
b0176,7.619099461,7.886885688,7.886138001,7.902018334
b0177,8.695514567,8.758118002,8.699672905,8.724403521
b0178,10.2131904,10.1157331,10.09046163,10.08344002
b0179,9.584593795,9.667142414,9.684318719,9.632680483
b0180,8.887439159,8.901443923,9.106417606,9.093420187
b0181,8.685965834,8.573967394,8.316752225,8.377973686
b0182,7.28365146,7.357922607,7.230780325,7.177255057
b0183,6.483648733,6.635951664,6.625972489,6.513464727
b0184,6.503935272,6.619155821,6.381216059,6.355450242
b0185,8.760133148,8.856271225,8.385842403,8.374631296
b0186,5.162261662,5.13802029,5.247846841,5.2394173
b0187,5.814996576,5.90692088,5.734369802,5.860057244
b0188,5.512798099,5.74837871,5.682106887,5.61092813
b0189,7.443595176,7.415194225,7.165994945,7.097959598
b4406,7.69536493,7.47327939,8.441443724,8.502093968
b0190,5.475038875,5.63101512,5.855529256,5.916397058
b0191,5.688969338,6.120791342,6.18032415,6.17700911
b0192,5.94084074,6.046117721,5.95160176,5.998293814
b0193,2.551729127,2.820356781,2.271300486,1.897023998
b0194,8.750420688,8.747480393,8.625062346,8.664987815
b0195,6.514702993,6.514701639,6.37268242,6.458208046
b0196,7.861538426,7.725126556,8.535184528,8.374487698
b0197,10.21512264,10.20588162,10.46477674,10.41634503
b0198,7.823115743,7.872131807,8.357917781,8.320304175
b0199,8.11140933,8.150127042,8.760621925,8.622313785
b0200,6.635048266,7.031588189,6.382149016,6.46491047
b0207,5.183828928,5.4468826,5.542577465,5.450642943
b0208,4.977843463,5.079029903,5.263238993,5.242105177
b0209,7.244981887,7.376615355,7.342086773,7.242782843
b0210,4.22360098,4.220039378,4.232152991,3.961588853
b0211,8.793548573,8.902648905,9.093334065,9.0798043
b0212,6.280472234,6.299154661,6.137315605,6.221483353
b0213,5.808188966,5.851349959,5.644707568,5.532930619
b0214,6.563634358,6.570766176,6.294355412,6.226318039
b0215,7.279737025,7.305382221,7.323692481,7.241384174
b0217,2.333768193,2.529363359,1.791746665,2.093607858
b4586,0.431128624,1.030083054,0,0.532032714
b0218,0,0.79726165,0.927094595,0.961388089
b4503,0,1.866595224,1.658020237,0.647365047
b0219,5.283394627,5.171344115,5.578027009,5.423718947
b0220,8.184462004,8.22971789,8.290185516,8.45995179
b0221,5.181173384,5.407010466,5.163065758,5.225791386
b0222,8.420275298,8.383934949,8.181915732,8.127106931
b0223,7.028122386,7.211426275,7.219359608,7.159992457
b0224,8.065542922,8.119547601,8.005419907,7.936418638
b0225,6.986787031,7.218363701,6.594792398,6.72946427
b0226,7.267597203,7.088725456,7.833793826,7.857213649
b0227,2.716465709,3.369828073,3.172043593,3.024220609
b0228,3.979180771,4.363678783,4.13488508,3.727986554
b0229,0.982537801,1.116414588,1.348279113,1.700151607
b0230,1.86932752,1.408273471,1.831897528,2.182503342
b0231,4.42104403,4.540023468,5.296277625,5.478420216
b0232,5.012337807,4.903267401,5.352065967,5.225171292
b0233,3.717078339,4.213492095,4.218425775,4.286084747
b0234,3.759964514,2.705155413,3.716180408,3.652758565
b0235,0.701447575,0.953642719,0.818048072,0.849386818
b0236,1.223271879,0.584221352,1.600838013,1.319301023
b0237,8.232316744,8.248505148,8.264758046,8.221023779
b0238,7.884401626,7.823959808,7.705430004,7.723369406
b0239,6.194608551,6.280618909,6.263879748,6.215905779
b0240,8.387761237,8.239036714,8.067849196,8.252925564
b4710,1.410620046,3.077904382,1.858943717,1.738122564
b4709,3.497894422,3.194700515,4.16809435,3.8262998
b0241,1.6126191,2.109663365,1.729038983,1.82125816
b0242,7.610548921,7.653006043,7.835663727,7.782045381
b0243,7.653732761,7.84155592,7.777074971,7.747471558
b4626,1.86932752,0,0,2.962670874
b0245,0.57417435,1.300214633,1.315697103,1.52494012
b0246,0.609487987,0,0.714265812,0.418543407
b4504,0,0,0.544824177,0.567666556
b0247,0.76634654,0,0.890794873,0.742570965
b0248,0.448079148,0,0,0
b0249,0,0,0.51038407,0.532032714
b0250,5.407262107,5.379094447,5.127400027,5.065029648
b0251,2.959305547,2.729704804,3.24619327,3.566547202
b0252,1.277186556,1.148673795,0.993759729,1.429061103
b0253,3.611480624,3.83958239,3.828272969,3.930368982
b0254,2.683248812,3.09656203,3.071445161,2.876816504
b4587,5.348200909,5.577744524,5.216018739,5.268233234
b0256,3.019858207,3.644661855,2.290012179,2.69636204
b0258,4.198469932,4.441862657,4.160943445,4.011685647
b0259,7.178273686,7.238588497,6.918768592,6.817207939
b0260,4.903746417,5.007876422,5.554526983,5.668363371
b0261,5.411784591,5.698614725,6.099740453,6.213150822
b0262,1.953870101,1.760801635,1.779158801,1.606223822
b0263,1.544031592,1.951079145,2.170711618,2.70492849
b0264,3.109220839,2.798070442,2.976677681,2.70519774
b0265,4.214577613,3.867219826,4.746034851,4.600968058
b0266,5.738552524,5.822243134,5.585374598,5.689828686
b0267,0.901848307,1.331041685,0.770232733,0.800201691
b0268,2.281610076,2.35819771,2.673309164,2.808400369
b0269,2.414774751,2.604929707,2.446608848,2.146106808
b0270,2.050641679,2.55653252,2.860081445,2.846247038
b0271,2.953310161,2.753688893,3.482845894,3.437337503
b0272,6.824426524,6.945514112,6.452257005,6.471062925
b0273,8.77749837,9.015842832,8.463152191,8.44856499
b4688,5.220590871,5.085797021,5.339201542,4.647393486
b0274,2.316271327,2.313264442,3.183386247,2.391571562
b0275,2.937890402,3.569797687,4.138167755,4.111650703
b0276,3.580447676,3.447432322,3.533058007,3.762854058
b0277,3.786421943,3.455839945,3.773147933,3.616650146
b0278,2.646551844,2.498664492,1.797990721,2.176892187
b0279,0.983787371,1.117777573,1.478749733,1.249151002
b4729,3.414025276,3.46002974,2.466560934,2.264707173
b0280,8.738416344,8.805255785,8.382036121,8.369955563
b0281,6.086250465,5.838838081,6.477699166,6.439512909
b0282,3.056873658,2.395021586,2.633357064,2.805210727
b0283,2.424182232,3.144138633,3.042279675,3.213536601
b0284,2.884807072,3.069202626,3.201488298,3.301362383
b0285,2.051169416,2.136709272,2.559794832,2.452498159
b0286,3.129809258,2.318266275,2.692030141,2.848944682
b0287,8.281527392,8.404966814,8.871629877,8.771351007
b0288,4.375555551,4.143578641,3.598404766,3.700496864
b0289,3.618977732,3.573509364,3.825845741,3.688449196
b0290,2.984573622,2.824869588,3.208009182,3.171181229
b0291,1.670857711,1.952877596,1.553674962,1.940701478
b0292,2.169443261,1.854808648,1.843360042,2.176234809
b0293,4.304868816,4.983048697,4.313447239,3.993328206
b0294,1.575367587,0.884722625,1.617432574,0.930179343
b0295,3.584790126,3.581340859,2.450928123,3.089327102
b4506,3.02040731,3.017108357,3.880315829,4.374088472
b0296,2.744001117,2.740800201,4.72605524,5.063236475
b4671,0,0,0.999031121,0
b4630,0,0,0,2.191474425
b0297,0.461033427,0.644613024,0.297979352,0.164182695
b0298,0,0,0,0.440178372
b0299,0.824804568,0.657150023,0.769716369,0.454546129
b0300,3.985870359,3.484637797,3.750056555,3.878727132
b0301,2.034177936,2.493581086,3.123814715,3.215467994
b0303,1.934166638,2.058662992,2.283393442,2.872344748
b0304,3.368726997,3.554774031,4.263507019,4.126510631
b0305,2.458694753,2.578462386,2.773524868,2.586723255
b0306,2.664577267,2.990521456,3.038313082,2.942885333
b0307,3.640738249,3.58909743,3.730011472,3.978705114
b0308,3.804334782,3.684690291,3.897600586,3.921041877
b0310,1.321556481,0.805478253,0.936266606,0.713651736
b0311,4.74481098,4.850016337,4.913538626,4.778926374
b0312,5.751910693,5.708168474,5.979563661,5.986796496
b0313,6.407240918,6.626931454,6.489772662,6.471460687
b0314,5.109956898,5.22489343,4.814727108,4.793458656
b4730,0,2.115983336,0,0
b0315,3.330186235,3.668269997,4.539908168,4.65408844
b0316,3.833859503,4.244965377,3.986247424,3.779644812
b0317,1.22823186,1.325795707,1.016297574,0.89506349
b0318,2.576688853,2.760904766,2.673309164,2.571763046
b0319,0.976339057,0.658981635,0.668559594,0.319338592
b0320,1.1295856,1.091535073,1.507152233,1.411103479
b0321,0.867658262,1.040937747,1.24117922,1.566140497
b0322,0.644215862,0,0.42543053,0.783038892
b0323,1.368560603,1.506402699,1.192407619,1.009288071
b0324,4.754320014,4.921127921,4.812732097,5.005002126
b0325,7.387001626,7.490979888,7.768295442,7.930812689
b0326,0.863542859,0.689768437,0.806524494,0.837537377
b0327,3.569658705,4.192533744,4.064791632,3.856759106
b0328,2.694455921,3.012868369,2.304840926,2.645244443
b0329,8.866652262,8.639616771,9.186492503,9.333443183
b0330,2.808284193,3.319517043,3.620201729,3.678351237
b0331,0.95467972,1.085999985,1.099796136,0.971591152
b0333,0.893225619,0.891489739,0.762560962,1.353413795
b0334,0.428045372,0.896290626,0.825125973,0.452665205
b0335,1.644443727,0.946971109,1.19884326,1.68351692
b0336,7.931161848,7.922307266,7.847705944,7.990433983
b0337,8.825624144,8.982717264,8.637703001,8.643980802
b0338,4.191805934,4.166086617,4.195089085,4.208035805
b0339,2.539209937,2.25990716,2.961784374,2.703488374
b0340,3.079600912,2.657703278,3.588535525,3.654138889
b0341,2.417458594,2.29215774,1.719411675,2.146889317
b0342,2.809347379,2.34676706,2.698799695,3.03041006
b0343,1.047208662,0.998025686,1.346746723,1.342747608
b0344,1.482387578,1.639132739,1.578973289,1.610518093
b0345,5.521065199,5.751852832,5.778584391,5.780324264
b0346,6.124236019,6.12259809,6.091189273,6.026083795
b0347,1.93032303,2.155434729,1.860246633,1.70040151
b0348,1.558752397,2.313264442,1.798758257,1.803946721
b0349,1.346298929,2.061189942,2.250855795,2.030782254
b0350,2.237279583,1.918021633,2.216283659,1.865030381
b0351,1.266838183,1.96088678,1.960515687,1.887959352
b0352,1.92705845,2.376633045,2.142585358,2.094969001
b0353,1.856300715,2.35819771,1.708949219,2.122930048
b0354,6.298418355,6.071116971,5.465892088,5.642616547
b0355,4.84109663,5.008508408,4.640333844,4.784786738
b0356,6.818952427,6.98050915,6.613348138,6.578830204
b0357,6.613456557,6.600779518,6.4243489,6.729180781
b0358,3.097566653,2.960889701,2.896987503,3.279750006
b4579,1.542674791,1.809298578,2.574031674,2.224937171
b0360,0.542774167,0,0,0
b0361,0.453171783,0.351700752,0.535780719,0.305997235
b0363,1.813096954,2.118762317,2.271855243,1.880684247
b4731,0,0,0,0
b0364,0.67735493,1.229402798,0.790939678,0.821507574
b0365,1.778385419,1.621895046,2.499317446,2.688416127
b0366,1.937283917,1.71355735,2.773132051,2.448808685
b0367,1.775207587,1.491812337,2.53552971,2.431627827
b0368,2.356309945,2.353282362,3.152313114,3.25435666
b0369,7.549840633,7.673623939,7.816421296,7.788561222
b4580,2.653246615,2.623471817,2.579123703,2.689109077
b0372,4.756554126,4.885561386,4.913478043,4.976926481
b0373,5.908563956,5.970273774,5.933081497,6.089013931
b0375,0.850992504,0,0.98510134,0.753690211
b0376,5.94566817,6.303262863,6.187195765,5.954253961
b0377,4.382201583,4.452466757,4.210968768,4.022604241
b0378,5.124893193,4.851328614,5.344434772,5.513169122
b0379,2.086165121,1.388939525,2.309131471,2.548271149
b0380,4.831400868,4.867000088,4.553165225,4.62160097
b0381,5.959360727,6.109936432,6.120183448,6.074021092
b0382,7.499756601,7.16777345,8.46843375,8.442653592
b0383,4.74716994,5.096229404,5.127400027,5.088805239
b0384,6.197547166,6.104083243,6.852451592,6.870787347
b0385,1.886129747,2.197193664,2.217542547,2.302221135
b0386,7.176416759,7.16338654,6.396622444,6.477934925
b0387,5.528684196,6.087972413,5.339937071,5.27708709
b0388,8.084016654,8.067513479,7.910616864,7.933221386
b0389,8.077095711,7.814168996,8.532369705,8.701497017
b0390,6.041097598,5.748264383,5.558384801,5.695774671
b0391,8.232409385,8.283866036,8.346655938,8.265961799
b0392,4.723498975,4.810397895,5.151779217,4.926855648
b4732,3.453001752,1.991879353,3.048921748,3.64012038
b0393,7.053105756,7.015113842,7.075945762,7.011662485
b0394,4.970203896,5.324512509,5.127400027,5.342086866
b0396,3.995876805,4.036315957,4.064430098,3.871708472
b0397,4.912239132,4.996232473,5.033568527,5.020585845
b0398,4.999540479,5.294811162,5.279818953,5.172103927
b0399,5.304645157,5.260622759,5.304905386,5.369143823
b0400,4.03126004,4.243973509,3.965251728,4.061029951
b0401,5.280525708,5.376734575,5.547240081,5.53880006
b0402,5.151981764,5.211114777,5.08706301,4.898314662
b0403,4.483450507,4.585758605,4.673878775,4.752055939
b0404,5.324295708,5.45860905,5.335570542,5.513757904
b0405,6.182847272,6.349948119,6.08049274,6.122178562
b0406,7.904570116,7.998705576,7.766395611,7.786931495
b0407,9.708030283,9.473265512,9.693731145,9.65605047
b0408,8.050697817,8.184403807,8.063738491,8.05670462
b0409,7.555582409,7.517132581,7.324558648,7.433704421
b0410,6.965120083,6.884489422,7.256599681,7.116737281
b0411,9.425944762,9.470114858,8.415590849,8.401130808
b0412,4.01523657,3.983821085,4.024980646,3.7104603
b0413,7.308512167,7.291184613,7.53867796,7.572336754
b0414,7.060705054,7.251123671,7.035503942,7.051553169
b0415,8.68409722,8.58846358,8.542969709,8.482896939
b0416,8.815034012,8.900876451,8.875941399,8.822001927
b0417,5.708233013,5.980594271,5.552503389,5.730452453
b0418,6.57561473,6.398681194,6.228684062,6.101026701
b0419,6.795460727,6.946771577,7.182690918,7.249460321
b0420,7.101282555,7.149402072,6.642564292,6.536162449
b0421,7.501287523,7.571775036,7.169401988,7.24032425
b0422,8.288419484,8.250944429,8.64107636,8.567403121
b0423,6.814646722,6.868171923,6.523040008,6.465701944
b0424,6.320515223,6.262163615,6.05518908,6.040776743
b0425,6.370792176,6.36547576,6.675151056,6.723619107
b0426,9.202569217,9.294184595,9.483206375,9.448004521
b0427,4.162011242,4.79452628,4.188904212,4.297332557
b0428,8.59181721,8.816921862,8.886880666,8.937786836
b0429,8.753586271,8.685776736,9.130109026,9.178154614
b0430,9.343401337,9.537622832,9.609097868,9.673974704
b0431,10.0686368,10.19223937,10.31385378,10.25360536
b0432,10.72677101,10.89043587,11.22664899,11.16488819
b0433,6.161156107,6.152871671,5.900383341,5.854282054
b0434,8.53027372,8.48653752,8.457180145,8.404787149
b0435,9.213064778,8.99401341,9.102540245,9.253150502
b0436,10.68870262,10.75401906,10.44248734,10.39678107
b0437,9.574425133,9.718926545,9.54877397,9.574078967
b0438,9.480108707,9.470378604,9.451664242,9.46382983
b0439,7.822206824,7.912400194,8.314292991,8.38332203
b0440,11.20336576,10.86385393,11.04346965,11.11993494
b0441,8.012329786,8.142849943,7.906154307,7.805399945
b0442,3.943069999,4.041246468,4.029825814,4.096960666
b0443,4.249194941,3.618630987,4.137030497,4.344400772
b0444,5.704935479,5.70124443,5.874399849,5.816629979
b0445,2.722923161,2.929179977,3.095149832,2.985774357
b0446,5.010381243,5.112401956,5.059072909,5.160371912
b0447,5.616986714,5.765567992,5.324039974,5.559813069
b0448,3.769244279,3.83394426,3.90312746,3.86618525
b0449,3.904814006,4.05132805,3.636037617,3.591143844
b0450,4.472844853,4.999439924,3.974856627,4.198887938
b0451,4.495887073,4.995478599,4.269265886,4.232432169
b0452,5.993586034,6.095803303,6.032933265,5.902049934
b0453,8.233278336,7.949450552,8.104867912,8.187159177
b0454,5.688799288,5.98203183,5.600985911,5.71684633
b0456,4.170019069,4.275748873,4.047750426,4.489722349
b0457,4.460646694,4.070686919,4.519522474,4.596144059
b0458,7.482416744,7.399211649,7.538465393,7.440495049
b0459,6.272778805,6.163587311,5.934475157,5.867742481
b0460,8.793619797,8.462537245,8.571921339,8.490758563
b0461,7.774789584,7.810155181,7.364535451,7.459112068
b0462,7.367660052,7.525584672,7.600560125,7.649072193
b0463,7.550749189,7.616412034,7.811239078,7.84006607
b0464,5.088432341,4.9945017,5.040489167,5.002359739
b0465,5.564703862,5.639886181,5.620303038,5.554248271
b0466,5.329648949,5.190220447,5.127400027,4.845436781
b0467,5.75158264,5.523611453,5.551993936,5.609988065
b0468,6.432261026,6.37587335,7.343566771,7.217284721
b0469,8.222603987,8.28461649,8.644390341,8.662074244
b0470,6.600650236,6.73833124,6.674190948,6.631798645
b0471,9.440958141,9.401536383,9.741521293,9.769006122
b0472,8.455660518,8.457000295,7.988552356,8.073938821
b0473,7.455240642,7.402671239,8.488771879,8.486804804
b0474,9.825168379,9.866654171,9.600698221,9.531250886
b0475,5.233807876,5.513253741,5.375474221,5.585379892
b0476,2.372800356,2.909463285,2.447978018,2.834310725
b0477,6.65893569,6.521145257,6.061801792,6.063056414
b0478,5.959050396,6.251121439,6.328922413,6.349523873
b0479,4.314321979,4.050337441,4.842848351,4.973504173
b0480,6.48372247,6.614550388,6.673301213,6.739660751
b0481,6.904076825,7.098026885,6.962562397,6.784784606
b0482,5.613102798,5.708221519,5.724991109,5.719684293
b0483,7.698864703,7.745154325,7.557230901,7.558128422
b0484,7.488566206,7.59992896,7.845609405,7.955721206
b0485,4.819458324,4.783426865,4.771457268,4.891391311
b0486,4.740370124,4.697850109,4.29799491,4.519548289
b0487,6.914650011,7.216638463,7.152893312,6.960680373
b0488,5.183073556,5.349736266,5.401829596,5.328225111
b0489,5.611623352,5.629270838,6.13194496,6.098176794
b0490,5.464364975,5.428094549,5.345662008,5.196811859
b0491,4.501275734,4.406095672,4.645542062,4.43182376
b0492,7.631466937,7.894515482,8.44067606,8.373882918
b0493,6.049198164,6.067800254,6.482316887,6.359883249
b0494,6.301158101,6.321628333,6.306403321,6.303997727
b0495,4.486352992,4.912906609,4.902705102,4.9058319
b0496,3.543574988,3.801765104,3.645580952,3.605081431
b0497,2.761195542,2.459081138,2.781815363,2.744237009
b0498,2.686318919,2.341101897,1.409423343,2.339371237
b0499,0.956446556,1.267302855,1.101743072,1.140316588
b0501,1.015394406,1.013494018,1.620400494,1.206594488
b4632,1.454933723,0,0,0
b0502,4.959308975,4.90260573,4.784559611,4.669942319
b0503,3.851531814,3.686787521,3.85685761,3.776835711
b0504,1.741774353,1.232077968,1.94747921,1.914964432
b0505,2.708848156,2.743338061,2.599679075,2.659545882
b0506,7.662470787,7.860570451,7.584911468,7.660638582
b0507,1.931474275,2.216998249,2.354925618,2.379727584
