Geneid,Reference_1,Reference_2,Test_1,Test_2
b0001,10.47372073,10.27194355,10.31547572,10.80813466
b0002,10.26056913,10.36855541,10.73587409,10.72691628
b0003,9.920277341,10.04422385,10.5284316,10.50309153
b0004,9.936694162,10.01063811,9.739519057,9.722997143
b0005,7.027514652,7.237448937,6.745797953,6.497823173
b0006,6.53718281,6.452699465,6.460234473,6.467135066
b0007,3.04320813,2.933901619,3.176911946,3.182351936
b0008,10.66477136,10.702458,10.68472295,10.67336554
b0009,5.818690882,6.109741677,6.088364541,5.829904223
b0010,4.654060157,4.779632358,4.00816607,3.957465032
b0011,1.63565612,2.170885736,2.617287156,2.572123156
b0012,0,0.598972964,0.274523773,0.287152716
b0013,0.868348093,1.512326293,1.327159702,1.510926095
b0014,9.562502322,9.578656119,10.46888093,10.52134484
b0015,7.442470594,7.712596321,8.144159321,8.238107144
b0016,5.795050747,5.993154634,5.974260851,5.946733215
b0018,3.602315989,3.396180552,3.208838098,3.346834782
b4412,0,0,0,0
b0019,5.869010798,5.523802393,5.738004283,5.875014553
b0020,5.778230533,5.854723684,5.578079857,5.574824977
b0021,1.410620046,1.799622011,2.27502943,2.391571562
b0022,4.117228743,4.564088916,4.107607204,4.403634325
b0023,12.2207344,11.96748543,11.94118458,11.92773977
b0024,3.449405616,3.341499893,3.154968259,2.557603345
b0025,8.108947352,8.236309227,8.304260054,8.303075971
b0026,8.882192581,8.992142251,8.996062452,8.997838418
b0027,7.638433838,7.637132768,7.462117014,7.533128179
b0028,7.36487568,7.275743517,7.515662834,7.528404802
b0029,6.925920205,6.949050534,6.826130031,6.78800231
b0030,4.507306416,4.407883073,4.308451795,4.368189146
b0031,8.411260608,8.488369005,8.343982647,8.433764261
b0032,10.19919679,10.23193183,10.05450305,10.00654011
b0033,9.80147828,9.92923673,9.549383985,9.553980517
b0034,5.836637075,5.614759408,5.415192316,5.510851442
b0035,1.936867615,2.603705279,2.095851811,2.150867958
b0036,0.712010012,1.540655926,1.679488986,1.787058701
b0037,2.918832017,3.09838275,2.80011363,2.9019273
b0038,2.537040433,2.516773428,2.878918804,2.608038921
b0039,3.331745947,3.409823587,3.023170514,3.117455499
b0040,0.733000164,0.868259156,1.053654472,0.710024066
b0041,0.900978312,2.191696341,1.294723046,0.874152393
b0042,1.274871396,1.044083058,1.329920453,1.308641512
b0043,1.117082184,0.979435666,1.129095023,0.998530459
