regulator,gene_id,effect
arcA,b2533,+-
arcA,b2537,+-
arcA,b2538,+-
arcA,b2539,+-
arcA,b2540,+-
arcA,b2541,+-
arcA,b2542,+-
arcA,b2579,+
arcA,b2581,+
arcA,b2587,-
arcA,b2659,-
arcA,b2660,-
arcA,b2661,-
arcA,b2662,-
arcA,b2663,-
arcA,b2741,-
arcA,b2790,-
arcA,b2791,-
arcA,b2792,-
arcA,b2808,+-
arcA,b2975,-
arcA,b2976,-
arcA,b2977,-
arcA,b2979,-
arcA,b2980,-
arcA,b2990,+-
arcA,b2991,+-
arcA,b2992,+-
arcA,b2993,+-
arcA,b2994,+-
arcA,b2995,+-
arcA,b2996,+-
arcA,b2997,+-
arcA,b2998,+
arcA,b3065,+
arcA,b3066,+
arcA,b3067,+
arcA,b3072,-
arcA,b3081,+-
arcA,b3089,+
arcA,b3091,+-
arcA,b3092,+-
arcA,b3093,+-
arcA,b3163,+
arcA,b3164,+-
arcA,b3165,+-
arcA,b3166,+
arcA,b3167,+
arcA,b3168,+
arcA,b3169,+
arcA,b3170,+
arcA,b3172,+-
arcA,b3175,+
arcA,b3185,+
arcA,b3186,+
arcA,b3211,+-
arcA,b3212,+-
arcA,b3213,+-
arcA,b3214,+-
arcA,b3236,-
arcA,b3237,+
arcA,b3311,-
arcA,b3312,-
arcA,b3313,-
arcA,b3314,-
arcA,b3315,-
arcA,b3316,-
arcA,b3317,-
arcA,b3318,-
arcA,b3319,-
arcA,b3320,-
arcA,b3321,-
arcA,b3397,-
arcA,b3398,+
arcA,b3402,+
arcA,b3403,+-
arcA,b3408,+-
arcA,b3409,+-
arcA,b3410,+-
arcA,b3424,+-
arcA,b3425,+-
arcA,b3426,-
arcA,b3449,-
arcA,b3450,-
arcA,b3451,-
arcA,b3452,-
arcA,b3453,-
arcA,b3485,+
arcA,b3486,+
arcA,b3487,+
arcA,b3512,+
arcA,b3515,+
arcA,b3516,+
arcA,b3517,+
arcA,b3523,-
arcA,b3528,-
arcA,b3540,+-
arcA,b3541,+-
arcA,b3542,+-
arcA,b3543,+-
arcA,b3544,+-
arcA,b3547,+-
arcA,b3555,-
arcA,b3556,-
arcA,b3569,+
arcA,b3572,+-
arcA,b3603,+-
arcA,b3604,+-
arcA,b3605,+-
arcA,b3635,+
arcA,b3636,+
arcA,b3637,+
arcA,b3662,+-
arcA,b3700,+-
arcA,b3701,+-
arcA,b3702,+-
arcA,b3703,+
arcA,b3704,+
arcA,b3712,+-
arcA,b3780,-
arcA,b3781,+
arcA,b3783,+
arcA,b3817,+-
arcA,b3820,-
arcA,b3821,+
arcA,b3845,-
arcA,b3846,-
arcA,b3847,+-
arcA,b3848,+-
arcA,b3849,+-
arcA,b3850,+-
arcA,b3891,+
arcA,b3892,+
arcA,b3893,+
arcA,b3894,+
arcA,b3907,-
arcA,b3908,-
arcA,b3962,-
arcA,b3963,+
arcA,b3964,+
arcA,b3990,-
arcA,b3991,-
arcA,b3992,-
arcA,b3993,-
arcA,b3994,-
arcA,b4014,-
arcA,b4015,-
arcA,b4016,-
arcA,b4039,+-
arcA,b4040,+-
arcA,b4058,-
arcA,b4059,-
arcA,b4067,-
arcA,b4068,-
arcA,b4069,-
arcA,b4070,+
arcA,b4071,+
arcA,b4072,+
arcA,b4073,+
arcA,b4074,+
arcA,b4076,+
arcA,b4092,+-
arcA,b4093,+-
arcA,b4094,+-
arcA,b4095,+-
arcA,b4096,+-
arcA,b4098,+-
arcA,b4099,+-
arcA,b4102,+-
arcA,b4105,+-
arcA,b4106,+-
arcA,b4122,+-
arcA,b4123,+-
arcA,b4131,-
arcA,b4132,-
arcA,b4138,+
arcA,b4208,+-
arcA,b4239,+
arcA,b4240,+
arcA,b4332,+-
arcA,b4340,+-
arcA,b4376,-
arcA,b4401,+
arcA,b4407,-
arcA,b4467,-
arcA,b4468,-
arcA,b4537,+-
argP,b0031,+
argP,b0166,+
argP,b1761,+
argP,b2156,+
argP,b2234,+
argP,b2235,+
argP,b2236,+
argP,b2838,+
argP,b2916,-
argP,b2923,+
argP,b3700,+
argP,b3701,+
argP,b3702,+
argP,b4024,+
argR,b0032,-
argR,b0033,-
argR,b0045,+
argR,b0095,-
argR,b0112,+
argR,b0273,-
argR,b0300,+
argR,b0315,+-
argR,b0709,+-
argR,b0812,-
argR,b0839,-
argR,b0854,-
argR,b0855,-
argR,b0856,-
argR,b0857,-
argR,b0860,-
argR,b0861,-
argR,b0862,-
argR,b0863,-
argR,b0864,-
argR,b0874,-
argR,b0923,-
argR,b0924,-
argR,b0942,+-
argR,b0943,+-
argR,b0944,+-
argR,b1221,+-
argR,b1301,+
argR,b1302,+
argR,b1498,+-
argR,b1605,-
argR,b1606,-
argR,b1723,-
argR,b1744,+
argR,b1745,+
argR,b1746,+
argR,b1747,+
argR,b1748,+
argR,b1786,+-
argR,b1967,-
argR,b2019,-
argR,b2020,-
argR,b2021,-
argR,b2022,-
argR,b2023,-
argR,b2024,-
argR,b2025,-
argR,b2026,-
argR,b2151,+
argR,b2298,-
argR,b2306,-
argR,b2307,-
argR,b2308,-
argR,b2309,-
argR,b2311,-
argR,b2312,-
argR,b2313,-
argR,b2443,+-
argR,b2457,+
argR,b2458,+
argR,b2459,+
argR,b2460,+
argR,b2461,+
argR,b2471,+
argR,b2472,+
argR,b2536,+-
argR,b2666,-
argR,b2669,-
argR,b2818,-
argR,b3018,+
argR,b3151,+-
argR,b3164,-
argR,b3165,-
argR,b3166,-
argR,b3167,-
argR,b3168,-
argR,b3169,-
argR,b3170,-
argR,b3172,-
argR,b3176,-
argR,b3212,-
argR,b3213,-
argR,b3214,-
argR,b3237,-
argR,b3249,-
argR,b3250,-
argR,b3251,-
argR,b3359,-
argR,b3384,-
argR,b3385,-
argR,b3386,-
argR,b3387,-
argR,b3388,-
argR,b3389,-
argR,b3390,-
argR,b3625,-
argR,b3628,-
argR,b3630,-
argR,b3631,-
argR,b3632,-
argR,b3731,-
argR,b3732,-
argR,b3733,-
argR,b3734,-
argR,b3735,-
argR,b3736,-
argR,b3737,-
argR,b3738,-
argR,b3739,-
argR,b3957,-
argR,b3958,-
argR,b3959,-
argR,b3960,-
argR,b4077,+
argR,b4092,+
argR,b4093,+
argR,b4094,+
argR,b4244,-
argR,b4245,-
argR,b4246,-
argR,b4254,-
argR,b4547,+
arsR,b3501,-
arsR,b3502,-
arsR,b3503,-
ascG,b0330,-
ascG,b0473,-
ascG,b0820,-
ascG,b2716,-
asnC,b3741,-
asnC,b3742,-
asnC,b3743,-
asnC,b3744,+
atoC,b2221,+
atoC,b2222,+
atoC,b2223,+
atoC,b2224,+
bCCP,b3255,-
bCCP,b3256,-
baeR,b1743,+
baeR,b2074,+
baeR,b2075,+
baeR,b2076,+
baeR,b2077,+
baeR,b2078,+
baeR,b2079,+
baeR,b2470,+
basR,b0460,+
basR,b0461,+
basR,b1014,-
basR,b1037,+
basR,b1038,+
basR,b1039,+
basR,b1040,+
basR,b1552,+
basR,b3025,+
basR,b3026,+
basR,b3207,-
basR,b4042,+
basR,b4312,+
betI,b0311,-
betI,b0312,-
betI,b0313,-
betI,b0314,-
birA,b0774,-
birA,b0775,-
birA,b0776,-
birA,b0777,-
birA,b0778,-
bluR,b1164,-
bluR,b1165,-
bluR,b1166,-
bluR,b1167,-
bolA,b0839,+-
bolA,b4150,+-
btsR,b4354,+
cadC,b4131,+
cadC,b4132,+
cadC,b4133,+
caiF,b0036,+
caiF,b0037,+
caiF,b0038,+
caiF,b0039,+
caiF,b0040,+
caiF,b0041,+
caiF,b0042,+
caiF,b0043,+
cbl,b0365,+
cbl,b0366,+
cbl,b0367,+
cbl,b0368,+
cbl,b0933,+
cbl,b0934,+
cbl,b0935,+
cbl,b0936,+
cbl,b0937,+
cdaR,b0162,+
cdaR,b2787,+
cdaR,b2788,+
cdaR,b2789,+
cdaR,b3124,+
cdaR,b3125,+
cdaR,b3126,+
cdaR,b3127,+
cdaR,b3128,+
cecR,b0792,-
cecR,b0793,-
cecR,b0794,-
cecR,b0795,-
cecR,b0796,-
chbR,b1733,+-
chbR,b1734,+-
chbR,b1735,+-
chbR,b1736,+-
chbR,b1737,+-
chbR,b1738,+-
comR,b1112,-
cpxR,b0161,+
cpxR,b0178,+
cpxR,b0179,+
cpxR,b0180,+
cpxR,b0181,+
cpxR,b0377,+
cpxR,b0378,+
cpxR,b0441,+
cpxR,b0460,+
cpxR,b0461,+
cpxR,b0754,+
cpxR,b0925,+
cpxR,b0929,-
cpxR,b0970,+
cpxR,b1037,-
cpxR,b1038,-
cpxR,b1039,-
cpxR,b1040,-
cpxR,b1042,-
cpxR,b1113,+
cpxR,b1530,+
cpxR,b1531,+
cpxR,b1535,+
cpxR,b1743,+
cpxR,b1846,+
cpxR,b1887,-
cpxR,b1888,-
cpxR,b1889,-
cpxR,b1890,-
cpxR,b1902,+
cpxR,b2074,+
cpxR,b2075,+
cpxR,b2076,+
cpxR,b2077,+
cpxR,b2078,+
cpxR,b2079,+
cpxR,b2215,+
cpxR,b2470,+
cpxR,b2570,-
cpxR,b2571,-
cpxR,b2572,-
cpxR,b2573,-
cpxR,b2580,-
cpxR,b2617,-
cpxR,b2665,+
cpxR,b2666,+
cpxR,b2893,+
cpxR,b3057,+
cpxR,b3095,+
cpxR,b3096,+
cpxR,b3363,+
cpxR,b3461,+
cpxR,b3688,+
cpxR,b3859,+
cpxR,b3860,+
cpxR,b3911,+
cpxR,b3912,+
cpxR,b4159,-
cpxR,b4160,-
cpxR,b4355,-
cpxR,b4392,+
cpxR,b4484,+
cra,b0070,-
cra,b0112,+
cra,b0113,-
cra,b0114,-
cra,b0115,-
cra,b0116,-
cra,b0118,+-
cra,b0311,+
cra,b0312,+
cra,b0313,+
cra,b0314,+
cra,b0315,+-
cra,b0331,-
cra,b0333,-
cra,b0334,-
cra,b0335,-
cra,b0428,+-
cra,b0429,+-
cra,b0430,+-
cra,b0431,+-
cra,b0432,+-
cra,b0733,+
cra,b0734,+
cra,b0871,+
cra,b0933,-
cra,b0934,-
cra,b0935,-
cra,b0936,-
cra,b0937,-
cra,b1037,+
cra,b1038,+
cra,b1039,+
cra,b1040,+
cra,b1136,+
cra,b1235,+
cra,b1241,-
cra,b1242,-
cra,b1276,+
cra,b1530,-
cra,b1531,-
cra,b1675,-
cra,b1676,-
cra,b1702,+
cra,b1703,+
cra,b1778,+
cra,b1779,-
cra,b1780,-
cra,b1817,+-
cra,b1818,+-
cra,b1819,+-
cra,b1850,-
cra,b1851,-
cra,b1852,-
cra,b2007,+
cra,b2019,+-
cra,b2020,+-
cra,b2021,+-
cra,b2022,+-
cra,b2023,+-
cra,b2024,+-
cra,b2025,+-
cra,b2026,+-
cra,b2074,+
cra,b2075,+
cra,b2076,+
cra,b2077,+
cra,b2078,+
cra,b2079,+
cra,b2097,-
cra,b2167,-
cra,b2168,-
cra,b2169,-
cra,b2276,+
cra,b2277,+
cra,b2278,+
cra,b2279,+
cra,b2280,+
cra,b2281,+
cra,b2282,+
cra,b2283,+
cra,b2284,+
cra,b2285,+
cra,b2286,+
cra,b2287,+
cra,b2288,+
cra,b2388,+-
cra,b2415,+-
cra,b2416,+-
cra,b2417,+-
cra,b2597,+-
cra,b2673,-
cra,b2674,-
cra,b2675,-
cra,b2676,-
cra,b2712,-
cra,b2779,-
cra,b2925,-
cra,b2926,-
cra,b2927,-
cra,b2980,-
cra,b3357,+
cra,b3365,-
cra,b3366,-
cra,b3367,-
cra,b3368,-
cra,b3376,-
cra,b3377,-
cra,b3379,-
cra,b3380,-
cra,b3381,-
cra,b3403,+
cra,b3476,+
cra,b3477,+
cra,b3478,+
cra,b3479,+
cra,b3480,+
cra,b3481,+
cra,b3599,-
cra,b3600,-
cra,b3601,-
cra,b3612,-
cra,b3613,-
cra,b3614,-
cra,b3829,+
cra,b3916,-
cra,b3919,-
cra,b3956,-
cra,b4014,+
cra,b4015,+
cra,b4016,+
cra,b4232,+
cra,b4233,-
cra,b4239,+
cra,b4240,+
cra,b4662,-
creB,b2464,+
creB,b4032,-
creB,b4033,-
creB,b4034,-
creB,b4400,+
crp,b0002,+-
crp,b0003,+-
crp,b0004,+-
crp,b0034,+
crp,b0036,+
crp,b0037,+
crp,b0038,+
crp,b0039,+
crp,b0040,+
crp,b0041,+
crp,b0042,+
crp,b0043,+
crp,b0061,+
crp,b0062,+
crp,b0063,+
crp,b0064,+
crp,b0106,+
crp,b0107,+
crp,b0109,+
crp,b0110,-
crp,b0111,-
crp,b0113,+
crp,b0114,+
crp,b0115,+
crp,b0116,+-
crp,b0118,+
crp,b0124,-
crp,b0125,+
crp,b0127,+-
crp,b0128,+-
crp,b0129,-
crp,b0145,+
crp,b0146,+
crp,b0189,-
crp,b0190,-
crp,b0191,-
crp,b0192,-
crp,b0330,+
crp,b0331,+
crp,b0333,+
crp,b0334,+
crp,b0335,+
crp,b0342,+-
crp,b0343,+-
crp,b0344,+-
crp,b0345,+
crp,b0346,+
crp,b0347,+
crp,b0348,+
crp,b0349,+
crp,b0350,+
crp,b0351,+
crp,b0352,+
crp,b0379,+
crp,b0380,-
crp,b0396,+-
crp,b0411,+-
crp,b0428,+
crp,b0429,+
crp,b0430,+
crp,b0431,+
crp,b0432,+
crp,b0440,+
crp,b0583,+
crp,b0584,+
crp,b0593,+
crp,b0594,+
crp,b0595,+
crp,b0596,+
crp,b0597,+
crp,b0598,+-
crp,b0610,-
crp,b0615,-
crp,b0618,-
crp,b0619,-
crp,b0620,-
crp,b0623,+-
crp,b0675,+-
crp,b0676,+-
crp,b0677,+-
crp,b0678,+-
crp,b0679,+-
crp,b0681,+
crp,b0682,+
crp,b0683,+
crp,b0720,+-
crp,b0721,+-
crp,b0722,+-
crp,b0723,+-
crp,b0724,+-
crp,b0726,+-
crp,b0727,+-
crp,b0728,+-
crp,b0729,+-
crp,b0753,+
crp,b0756,+-
crp,b0757,+-
crp,b0758,+-
crp,b0759,+-
crp,b0763,+
crp,b0764,+
crp,b0765,+
crp,b0805,+
crp,b0815,-
crp,b0819,+-
crp,b0820,+-
crp,b0880,+-
crp,b0881,+-
crp,b0882,+
crp,b0903,+
crp,b0904,+
crp,b0907,-
crp,b0908,-
crp,b0929,+
crp,b0931,-
crp,b0953,+
crp,b0957,+
crp,b0959,+
crp,b1002,+
crp,b1015,-
crp,b1036,+-
crp,b1037,+
crp,b1038,+
crp,b1039,+
crp,b1040,+
crp,b1101,+-
crp,b1111,-
crp,b1112,-
crp,b1182,+
crp,b1189,+-
crp,b1190,+-
crp,b1205,+-
crp,b1235,-
crp,b1256,-
crp,b1272,-
crp,b1276,+
crp,b1298,-
crp,b1299,-
crp,b1300,-
crp,b1301,-
crp,b1302,-
crp,b1304,+-
crp,b1305,+-
crp,b1306,+-
crp,b1308,-
crp,b1309,+-
crp,b1310,+-
crp,b1313,+-
crp,b1315,+-
crp,b1316,+-
crp,b1319,+-
crp,b1384,+
crp,b1385,+
crp,b1387,+
crp,b1388,+
crp,b1389,+
crp,b1390,+
crp,b1391,+
crp,b1392,+
crp,b1393,+
crp,b1394,+
crp,b1395,+
crp,b1397,+
crp,b1398,+
crp,b1415,+-
crp,b1420,-
crp,b1421,+-
crp,b1492,-
crp,b1493,-
crp,b1511,+
crp,b1512,+
crp,b1513,+
crp,b1514,+
crp,b1515,+
crp,b1516,+
crp,b1517,+
crp,b1518,+
crp,b1519,+
crp,b1521,+
crp,b1530,+
crp,b1531,+
crp,b1593,+
crp,b1594,+-
crp,b1611,+-
crp,b1612,+-
crp,b1613,+-
crp,b1615,+
crp,b1616,+
crp,b1617,+
crp,b1620,+-
crp,b1621,+
crp,b1622,+
crp,b1656,-
crp,b1733,+
crp,b1734,+
crp,b1735,+
crp,b1736,+
crp,b1737,+
crp,b1738,+
crp,b1761,-
crp,b1777,-
crp,b1778,-
crp,b1779,+
crp,b1805,+
crp,b1817,+-
crp,b1818,+-
crp,b1819,+-
crp,b1823,-
crp,b1824,+-
crp,b1891,+-
crp,b1892,+-
crp,b1900,+
crp,b1901,+
crp,b1955,+
crp,b1976,-
crp,b2009,+
crp,b2074,+-
crp,b2075,+-
crp,b2076,+-
crp,b2077,+-
crp,b2078,+
crp,b2079,+
crp,b2091,+-
crp,b2093,+-
crp,b2094,+-
crp,b2095,+-
crp,b2096,+-
crp,b2127,+
crp,b2143,+-
crp,b2146,+
crp,b2147,+
crp,b2148,+-
crp,b2149,+-
crp,b2150,+-
crp,b2151,+
crp,b2155,+
crp,b2170,-
crp,b2171,+
crp,b2172,-
crp,b2176,-
crp,b2231,+
crp,b2232,+
crp,b2234,+
crp,b2235,+
crp,b2236,+
crp,b2239,+
crp,b2240,+
crp,b2241,+
crp,b2242,+
crp,b2243,+
crp,b2276,+-
crp,b2277,+-
crp,b2278,+-
crp,b2279,+-
crp,b2280,+-
crp,b2281,+-
crp,b2282,+-
crp,b2283,+-
crp,b2284,+-
crp,b2285,+-
crp,b2286,+-
crp,b2287,-
crp,b2288,-
crp,b2344,+
crp,b2365,+
crp,b2366,+
crp,b2392,+
crp,b2393,+
crp,b2398,+-
crp,b2399,-
crp,b2415,+-
crp,b2416,+-
crp,b2417,+-
crp,b2426,-
crp,b2428,+
crp,b2429,+
crp,b2469,-
crp,b2482,+
crp,b2484,+
crp,b2486,+
crp,b2487,+
crp,b2489,+
crp,b2491,+
crp,b2492,+
crp,b2507,+-
crp,b2508,+
crp,b2509,+-
crp,b2535,+
crp,b2570,+
crp,b2571,+
crp,b2572,+
crp,b2573,+
crp,b2579,+
crp,b2584,+
crp,b2597,+-
crp,b2614,+
crp,b2659,+
crp,b2660,+
crp,b2661,+
crp,b2662,+
crp,b2663,+
crp,b2702,+
crp,b2703,+
crp,b2704,+
crp,b2705,+
crp,b2706,+
crp,b2707,+
crp,b2708,+
crp,b2716,+
crp,b2741,+
crp,b2754,-
crp,b2755,-
crp,b2756,-
crp,b2757,-
crp,b2758,-
crp,b2760,-
crp,b2782,+
crp,b2783,+
crp,b2784,+
crp,b2796,-
crp,b2797,-
crp,b2798,+-
crp,b2799,+
crp,b2800,+
crp,b2801,+
crp,b2802,+
crp,b2803,+
crp,b2804,+
crp,b2805,+
crp,b2840,+
crp,b2841,+
crp,b2844,-
crp,b2903,+
crp,b2904,+
crp,b2905,+
crp,b2913,+
crp,b2925,+
crp,b2926,+-
crp,b2927,+-
crp,b2942,-
crp,b2943,+
crp,b2957,+
crp,b2964,+-
crp,b2965,-
crp,b2975,-
crp,b2976,-
crp,b2977,-
crp,b2979,+-
crp,b2980,+-
crp,b3041,-
crp,b3049,+
crp,b3065,-
crp,b3066,+-
crp,b3072,+
crp,b3081,+
crp,b3090,+-
crp,b3091,+-
crp,b3092,+-
crp,b3093,+
crp,b3094,-
crp,b3113,+
crp,b3114,+
crp,b3115,+
crp,b3116,+
crp,b3117,+
crp,b3118,+
crp,b3124,+-
crp,b3125,+-
crp,b3126,-
crp,b3127,-
crp,b3132,+
crp,b3164,-
crp,b3165,-
crp,b3166,+-
crp,b3167,+-
crp,b3168,+-
crp,b3169,+-
crp,b3170,+-
crp,b3172,+-
crp,b3212,-
crp,b3213,-
crp,b3214,-
crp,b3221,+
crp,b3222,+
crp,b3223,+
crp,b3224,+
crp,b3225,+
crp,b3230,-
crp,b3231,-
crp,b3236,+
crp,b3240,+
crp,b3241,+
crp,b3243,-
crp,b3260,+-
crp,b3261,+-
crp,b3356,+-
crp,b3357,+-
crp,b3358,-
crp,b3360,+-
crp,b3361,+
crp,b3362,+-
crp,b3363,+-
crp,b3364,+
crp,b3365,-
crp,b3366,-
crp,b3367,-
crp,b3368,-
crp,b3395,+
crp,b3403,+-
crp,b3404,+-
crp,b3405,+-
crp,b3413,+
crp,b3414,+
crp,b3415,+
crp,b3418,+
crp,b3424,+
crp,b3425,+
crp,b3426,+
crp,b3428,+
crp,b3429,+
crp,b3430,+
crp,b3437,+
crp,b3439,+
crp,b3440,+-
crp,b3449,+
crp,b3450,+
crp,b3451,+
crp,b3452,+
crp,b3453,+
crp,b3461,+-
crp,b3512,-
crp,b3513,-
crp,b3514,-
crp,b3516,-
crp,b3517,-
crp,b3528,+
crp,b3546,-
crp,b3556,-
crp,b3564,+
crp,b3565,+
crp,b3566,+
crp,b3567,+
crp,b3568,+
crp,b3569,+
crp,b3571,+
crp,b3574,-
crp,b3575,+
crp,b3576,+
crp,b3577,+
crp,b3578,+
crp,b3579,+
crp,b3580,+
crp,b3581,+
crp,b3582,+
crp,b3583,+
crp,b3588,+
crp,b3597,+-
crp,b3598,+
crp,b3599,+
crp,b3600,+
crp,b3601,+
crp,b3603,-
crp,b3604,+-
crp,b3605,+-
