regulator,gene_id,effect
FMN,b3041,-
L-tryptophan,b3708,+
L-tryptophan,b3709,+
TPP,b0066,-
TPP,b0067,-
TPP,b0068,-
TPP,b2103,-
TPP,b2104,-
TPP,b3990,-
TPP,b3991,-
TPP,b3992,-
TPP,b3993,-
TPP,b3994,-
TPP,b4407,-
acrR,b0462,-
acrR,b0463,-
acrR,b0464,-
acrR,b1530,-
acrR,b1531,-
acrR,b1891,-
acrR,b1892,-
acrR,b4062,-
acrR,b4063,-
ada,b2068,+
ada,b2212,+-
ada,b2213,+-
ada,b4187,+
adenosylcobalamin,b3966,-
adenosylcobalamin,b3967,-
adiY,b1492,+
adiY,b1493,+
adiY,b3212,+
adiY,b3213,+
adiY,b3214,+
adiY,b3516,+
adiY,b3517,+
adiY,b4117,+
agaR,b3131,-
agaR,b3132,-
agaR,b3136,-
aidB,b4187,-
alaS,b2697,-
allR,b0504,-
allR,b0505,-
allR,b0507,-
allR,b0508,-
allR,b0509,-
allR,b0511,-
allR,b0512,-
allR,b0513,-
allR,b0514,-
allS,b0515,+
allS,b0516,+
allS,b0517,+
alsR,b4085,-
alsR,b4086,-
alsR,b4087,-
alsR,b4088,-
alsR,b4089,-
alsR,b4090,-
appY,b0972,+
appY,b0973,+
appY,b0974,+
appY,b0975,+
appY,b0976,+
appY,b0977,+
appY,b0978,+
appY,b0979,+
appY,b0980,+
araC,b0061,+-
araC,b0062,+-
araC,b0063,+-
araC,b0064,+-
araC,b0396,+
araC,b1497,-
araC,b1498,-
araC,b1900,+
araC,b1901,+
araC,b2840,+
araC,b2841,+
araC,b3564,-
araC,b3565,-
araC,b4460,+
arcA,b0002,-
arcA,b0003,-
arcA,b0004,-
arcA,b0023,+
arcA,b0025,+
arcA,b0026,+
arcA,b0027,+
arcA,b0028,+
arcA,b0029,+
arcA,b0032,+
arcA,b0033,+
arcA,b0036,+-
arcA,b0037,+-
arcA,b0038,+-
arcA,b0039,+-
arcA,b0040,+-
arcA,b0071,+
arcA,b0072,+
arcA,b0073,+
arcA,b0074,+
arcA,b0114,-
arcA,b0115,-
arcA,b0116,-
arcA,b0117,+-
arcA,b0118,-
arcA,b0221,-
arcA,b0311,-
arcA,b0312,-
arcA,b0313,-
arcA,b0314,-
arcA,b0345,-
arcA,b0346,-
arcA,b0347,-
arcA,b0348,-
arcA,b0349,-
arcA,b0350,-
arcA,b0351,-
arcA,b0352,-
arcA,b0428,-
arcA,b0429,-
arcA,b0430,-
arcA,b0431,-
arcA,b0432,-
arcA,b0564,+
arcA,b0602,+
arcA,b0615,-
arcA,b0618,-
arcA,b0619,+
arcA,b0620,+
arcA,b0621,+
arcA,b0696,+-
arcA,b0697,+-
arcA,b0698,+-
arcA,b0699,+
arcA,b0720,-
arcA,b0721,+-
arcA,b0722,+-
arcA,b0723,+-
arcA,b0724,+-
arcA,b0726,+-
arcA,b0727,+-
arcA,b0728,+-
arcA,b0729,+-
arcA,b0733,+-
arcA,b0734,+-
arcA,b0780,+
arcA,b0781,-
arcA,b0782,-
arcA,b0783,-
arcA,b0784,-
arcA,b0785,-
arcA,b0805,-
arcA,b0806,-
arcA,b0821,+-
arcA,b0823,+-
arcA,b0824,+-
arcA,b0825,+
arcA,b0826,+
arcA,b0827,+
arcA,b0828,+
arcA,b0829,+
arcA,b0830,+
arcA,b0831,+
arcA,b0832,+
arcA,b0835,+
arcA,b0836,-
arcA,b0854,-
arcA,b0855,-
arcA,b0856,-
arcA,b0857,-
arcA,b0877,+
arcA,b0878,-
arcA,b0879,-
arcA,b0881,-
arcA,b0882,-
arcA,b0884,+
arcA,b0886,+
arcA,b0887,+
arcA,b0903,+-
arcA,b0904,+-
arcA,b0931,+-
arcA,b0932,-
arcA,b0953,+-
arcA,b0970,+-
arcA,b0972,+
arcA,b0973,+
arcA,b0974,+
arcA,b0975,+
arcA,b0976,+
arcA,b0977,+
arcA,b0978,+
arcA,b0979,+
arcA,b0980,+
arcA,b1006,+-
arcA,b1007,+-
arcA,b1008,+-
arcA,b1009,+-
arcA,b1010,+-
arcA,b1011,+-
arcA,b1012,+-
arcA,b1013,+-
arcA,b1014,-
arcA,b1015,+-
arcA,b1020,+-
arcA,b1056,+-
arcA,b1057,+-
arcA,b1088,+
arcA,b1089,+
arcA,b1090,+
arcA,b1091,+
arcA,b1092,+
arcA,b1093,+
arcA,b1094,+
arcA,b1095,+
arcA,b1101,+-
arcA,b1109,+-
arcA,b1134,+-
arcA,b1135,+-
arcA,b1136,-
arcA,b1185,+
arcA,b1198,+-
arcA,b1199,+-
arcA,b1200,+-
arcA,b1201,+-
arcA,b1210,+
arcA,b1211,+
arcA,b1212,+
arcA,b1243,+-
arcA,b1244,+-
arcA,b1245,+-
arcA,b1246,+-
arcA,b1247,+-
arcA,b1256,-
arcA,b1276,-
arcA,b1296,-
arcA,b1297,+-
arcA,b1298,-
arcA,b1299,-
arcA,b1300,-
arcA,b1301,-
arcA,b1302,-
arcA,b1324,-
arcA,b1325,+-
arcA,b1332,-
arcA,b1334,-
arcA,b1384,+-
arcA,b1385,+-
arcA,b1388,+-
arcA,b1389,+-
arcA,b1390,+-
arcA,b1391,+-
arcA,b1392,+-
arcA,b1393,+-
arcA,b1394,+-
arcA,b1395,+-
arcA,b1397,+-
arcA,b1398,+-
arcA,b1415,-
arcA,b1451,+-
arcA,b1452,+-
arcA,b1483,+-
arcA,b1484,+-
arcA,b1485,+-
arcA,b1486,+-
arcA,b1487,+-
arcA,b1488,+-
arcA,b1521,+-
arcA,b1528,-
arcA,b1602,+
arcA,b1603,+
arcA,b1607,+-
arcA,b1608,+-
arcA,b1609,+-
arcA,b1611,+-
arcA,b1612,-
arcA,b1613,+-
arcA,b1744,-
arcA,b1745,-
arcA,b1746,-
arcA,b1747,-
arcA,b1748,-
arcA,b1749,-
arcA,b1778,-
arcA,b1779,-
arcA,b1780,-
arcA,b1805,-
arcA,b1891,+
arcA,b1892,+
arcA,b1895,+-
arcA,b1904,+-
arcA,b2091,-
arcA,b2093,-
arcA,b2094,-
arcA,b2095,-
arcA,b2096,-
arcA,b2148,-
arcA,b2149,-
arcA,b2150,-
arcA,b2152,-
arcA,b2153,-
arcA,b2154,+-
arcA,b2155,-
arcA,b2172,+-
arcA,b2181,-
arcA,b2185,+
arcA,b2210,-
arcA,b2215,+
arcA,b2216,+
arcA,b2217,+
arcA,b2241,-
arcA,b2242,-
arcA,b2243,-
arcA,b2272,+-
arcA,b2276,-
arcA,b2277,-
arcA,b2278,-
arcA,b2279,-
arcA,b2280,-
arcA,b2281,-
arcA,b2282,-
arcA,b2283,-
arcA,b2284,-
arcA,b2285,-
arcA,b2286,-
arcA,b2287,-
arcA,b2288,-
arcA,b2296,+
arcA,b2306,-
arcA,b2307,-
arcA,b2308,-
arcA,b2309,-
arcA,b2310,-
arcA,b2341,-
arcA,b2342,-
arcA,b2343,-
arcA,b2344,-
arcA,b2380,+-
arcA,b2381,+-
arcA,b2382,+-
arcA,b2392,-
arcA,b2393,+
arcA,b2449,+-
arcA,b2507,+-
arcA,b2508,+-
arcA,b2509,+
arcA,b2518,-
arcA,b2532,+-
