,gene_id,database,kegg_id
1045,SACI_RS00040,KEGG_pathway,map00760
1046,SACI_RS00040,KEGG_pathway,map01100
1048,SACI_RS00060,KEGG_pathway,map00230
1050,SACI_RS00070,KEGG_pathway,map03410
1055,SACI_RS00085,KEGG_pathway,map00361
1056,SACI_RS00085,KEGG_pathway,map00625
1057,SACI_RS00085,KEGG_pathway,map01100
1058,SACI_RS00085,KEGG_pathway,map01120
1061,SACI_RS00105,KEGG_pathway,map00760
1062,SACI_RS00105,KEGG_pathway,map01100
1073,SACI_RS00115,KEGG_pathway,map00010
1074,SACI_RS00115,KEGG_pathway,map00620
1075,SACI_RS00115,KEGG_pathway,map00640
1076,SACI_RS00115,KEGG_pathway,map00680
1077,SACI_RS00115,KEGG_pathway,map00720
1078,SACI_RS00115,KEGG_pathway,map01100
1079,SACI_RS00115,KEGG_pathway,map01110
1080,SACI_RS00115,KEGG_pathway,map01120
1081,SACI_RS00115,KEGG_pathway,map01130
1082,SACI_RS00115,KEGG_pathway,map01200
1084,SACI_RS00135,KEGG_pathway,map00450
1086,SACI_RS11515,KEGG_pathway,map03013
1088,SACI_RS00150,KEGG_pathway,map03008
1091,SACI_RS00165,KEGG_pathway,map00130
1092,SACI_RS00165,KEGG_pathway,map01110
1095,SACI_RS00180,KEGG_pathway,map04621
1096,SACI_RS00180,KEGG_pathway,map05418
1106,SACI_RS00190,KEGG_pathway,map00010
1107,SACI_RS00190,KEGG_pathway,map00260
1108,SACI_RS00190,KEGG_pathway,map00680
1109,SACI_RS00190,KEGG_pathway,map01100
1110,SACI_RS00190,KEGG_pathway,map01110
1111,SACI_RS00190,KEGG_pathway,map01120
1112,SACI_RS00190,KEGG_pathway,map01130
1113,SACI_RS00190,KEGG_pathway,map01200
1114,SACI_RS00190,KEGG_pathway,map01230
1122,SACI_RS00265,KEGG_pathway,map00620
1123,SACI_RS00265,KEGG_pathway,map00680
1124,SACI_RS00265,KEGG_pathway,map00710
1125,SACI_RS00265,KEGG_pathway,map00720
1126,SACI_RS00265,KEGG_pathway,map01100
1127,SACI_RS00265,KEGG_pathway,map01120
1128,SACI_RS00265,KEGG_pathway,map01200
1136,SACI_RS00280,KEGG_pathway,map00280
1137,SACI_RS00280,KEGG_pathway,map00630
1138,SACI_RS00280,KEGG_pathway,map00640
1139,SACI_RS00280,KEGG_pathway,map00720
1140,SACI_RS00280,KEGG_pathway,map01100
1141,SACI_RS00280,KEGG_pathway,map01120
1142,SACI_RS00280,KEGG_pathway,map01200
1144,SACI_RS00305,KEGG_pathway,map00970
1146,SACI_RS00330,KEGG_pathway,map03015
1151,SACI_RS00340,KEGG_pathway,map00230
1152,SACI_RS00340,KEGG_pathway,map00240
1153,SACI_RS00340,KEGG_pathway,map01100
1154,SACI_RS00340,KEGG_pathway,map03030
1156,SACI_RS00345,KEGG_pathway,map03030
1158,SACI_RS00350,KEGG_pathway,map00970
1160,SACI_RS00370,KEGG_pathway,map03010
1162,SACI_RS00375,KEGG_pathway,map03010
1164,SACI_RS00380,KEGG_pathway,map03010
1169,SACI_RS00385,KEGG_pathway,map00230
1170,SACI_RS00385,KEGG_pathway,map00240
1171,SACI_RS00385,KEGG_pathway,map01100
1172,SACI_RS00385,KEGG_pathway,map03020
1174,SACI_RS00390,KEGG_pathway,map03010
1176,SACI_RS00395,KEGG_pathway,map03010
1178,SACI_RS00400,KEGG_pathway,map03010
1183,SACI_RS00405,KEGG_pathway,map00230
1184,SACI_RS00405,KEGG_pathway,map00240
1185,SACI_RS00405,KEGG_pathway,map01100
1186,SACI_RS00405,KEGG_pathway,map03020
1188,SACI_RS00410,KEGG_pathway,map03010
1193,SACI_RS00425,KEGG_pathway,map00900
1194,SACI_RS00425,KEGG_pathway,map01100
1195,SACI_RS00425,KEGG_pathway,map01110
1196,SACI_RS00425,KEGG_pathway,map01130
1201,SACI_RS00430,KEGG_pathway,map00900
1202,SACI_RS00430,KEGG_pathway,map01100
1203,SACI_RS00430,KEGG_pathway,map01110
1204,SACI_RS00430,KEGG_pathway,map01130
1207,SACI_RS00435,KEGG_pathway,map00510
1208,SACI_RS00435,KEGG_pathway,map01100
1211,SACI_RS00455,KEGG_pathway,map00190
1212,SACI_RS00455,KEGG_pathway,map01100
1215,SACI_RS00495,KEGG_pathway,map00790
1216,SACI_RS00495,KEGG_pathway,map01100
1219,SACI_RS00500,KEGG_pathway,map00790
1220,SACI_RS00500,KEGG_pathway,map01100
1230,SACI_RS00535,KEGG_pathway,map00030
1231,SACI_RS00535,KEGG_pathway,map00260
1232,SACI_RS00535,KEGG_pathway,map00561
1233,SACI_RS00535,KEGG_pathway,map00630
1234,SACI_RS00535,KEGG_pathway,map00680
1235,SACI_RS00535,KEGG_pathway,map01100
1236,SACI_RS00535,KEGG_pathway,map01120
1237,SACI_RS00535,KEGG_pathway,map01130
1238,SACI_RS00535,KEGG_pathway,map01200
1240,SACI_RS00545,KEGG_pathway,map02010
1251,SACI_RS00555,KEGG_pathway,map00010
1252,SACI_RS00555,KEGG_pathway,map00051
1253,SACI_RS00555,KEGG_pathway,map00562
1254,SACI_RS00555,KEGG_pathway,map00710
1255,SACI_RS00555,KEGG_pathway,map01100
1256,SACI_RS00555,KEGG_pathway,map01110
1257,SACI_RS00555,KEGG_pathway,map01120
1258,SACI_RS00555,KEGG_pathway,map01130
1259,SACI_RS00555,KEGG_pathway,map01200
1260,SACI_RS00555,KEGG_pathway,map01230
1272,SACI_RS00580,KEGG_pathway,map00020
1273,SACI_RS00580,KEGG_pathway,map00620
1274,SACI_RS00580,KEGG_pathway,map00720
1275,SACI_RS00580,KEGG_pathway,map01100
1276,SACI_RS00580,KEGG_pathway,map01110
1277,SACI_RS00580,KEGG_pathway,map01120
1278,SACI_RS00580,KEGG_pathway,map01130
1279,SACI_RS00580,KEGG_pathway,map01200
1280,SACI_RS00580,KEGG_pathway,map04934
1281,SACI_RS00580,KEGG_pathway,map05200
1282,SACI_RS00580,KEGG_pathway,map05211
1284,SACI_RS00610,KEGG_pathway,map03410
1297,SACI_RS00645,KEGG_pathway,map00010
1298,SACI_RS00645,KEGG_pathway,map00020
1299,SACI_RS00645,KEGG_pathway,map00260
1300,SACI_RS00645,KEGG_pathway,map00280
1301,SACI_RS00645,KEGG_pathway,map00620
1302,SACI_RS00645,KEGG_pathway,map00630
1303,SACI_RS00645,KEGG_pathway,map00640
1304,SACI_RS00645,KEGG_pathway,map01100
