,Reference_1,Reference_2,Test_1,Test_2
b0002,60272.78322889368,68198.7232258347,121169.20303936306,145540.59326415375
b0003,33377.06195995442,37164.56513173766,91475.25577697977,133756.16752099028
b0004,39928.516389992226,45480.549891771276,34795.427264115344,48008.86017096881
b0005,552.4113844629587,521.4339215639113,225.3604578865183,206.70541843796747
b0006,1007.0477652432971,988.8932599902803,875.24416284868,881.3641946713742
b0007,32.814084178918414,32.357872613743865,37.14095630012552,32.07092420578127
b0008,72166.75050889488,74220.81122545218,63308.35796723436,48958.01876275137
b0009,473.22558765873816,530.2973600284867,579.7968726498755,560.2480210693187
b0010,220.8132549866238,221.19707026428833,71.56447919122697,61.02648160070566
b0011,4.321691454192773,9.254835030040745,19.17254558604887,10.507365888416423
b0014,29966.428498650585,32251.40067998885,57174.00359904168,54196.79816705096
b0015,2627.708029480042,3583.519372630834,4115.087706501306,4158.474714622383
b0016,608.4465944322568,677.2307740533084,481.45369022996476,391.6211500475425
b0018,10.528920094216305,0.0,1.189052260765104,13.110082484449142
b0019,593.1954731921303,389.0848434482484,1240.6287268408714,1015.9499238740602
b0020,520.6757191239853,557.9526640301203,280.14322609237666,391.06051431000174
b0021,5.034449230582833,5.982147774568891,5.634543410135593,10.386830913190021
b0022,26.827799131252153,18.789412583000455,17.627827046529536,3.2318877075383012
b0023,67930.00561367843,35890.69271407692,11097.41663142083,10162.668701646568
b0025,4522.168341245191,4264.50365251565,5326.263542897091,5239.81144722342
b0026,15967.202421603453,19100.364634175865,25547.707265390556,25695.78192811322
b0027,1711.3492197434698,1464.6850810883925,1432.3807100486904,1626.4044060937124
b0028,1461.442797651959,776.5061214223108,1256.0120266337096,1697.7913267577555
b0029,1624.450217499898,1845.4015549372377,2851.52798827487,2857.0274891407034
b0030,161.69455022378898,149.96582800927771,31.362229057199528,22.022728389770396
b0031,5881.90755955224,5788.446448952176,2224.147005828761,1621.5645422718333
b0032,42962.71461286402,45017.563804209276,1026.5152337081104,326.211703698738
b0033,41331.096664792974,49843.154573005406,1376.6473225641068,553.2095376247835
b0034,145.47673135514495,96.57596978292983,8.708913800435534,3.8745739451904946
b0036,0.6202156578729248,3.476621030064524,5.129218882427915,1.7338242360073903
b0037,30.178532094457626,34.11546413137674,23.653692689956994,32.07603675292784
b0038,19.742924404283038,19.354591235935576,26.669295624258773,34.197036518769295
b0039,56.456047003755465,49.88797193060661,24.272799609779938,21.396363827294607
b0040,2.195448280202611,2.2508192907338915,2.336047184183554,3.3691789208305893
b0041,1.353470308106608,12.149776968724082,3.3582511862277418,2.1867000926596516
b0042,3.8534340628014236,1.7498427468936244,5.715445267271866,4.324025593270961
b0043,3.7428846239632403,3.5535039269154307,2.3249865658513604,3.52556420861874
b0045,0.7417133290730529,1.1845197171882558,1.3334312970647746,1.8588499288831777
b0046,110.63207845859951,127.22663690676205,222.3397576300612,197.680720405815
b0047,182.40610589610287,170.96763646291004,295.5275528295943,285.9179696772009
b0048,1148.9756899412168,1317.2771137309062,900.4338841600797,1002.9101709187557
b0049,909.1717556744256,946.4269776796788,1969.3706677687453,2250.9579872377576
b0050,822.2593465227011,748.6369850626138,4409.971785022961,8228.949072284644
b0051,4355.0031566757725,4495.066066075203,4593.174172243055,4733.821991414993
b0052,2418.1357984559118,2911.2986145050577,1352.721804405389,1369.6569914307217
b0053,10846.107590443058,10946.302581936849,11388.453712417553,11844.062593216106
b0054,9954.395426763554,11372.32955836648,12761.199847764525,12271.973554485867
b0055,410.63820381632263,342.87678968042053,518.4460270992124,525.0426151553896
b0058,252.6910901069779,243.35179236654622,511.9888898932742,747.2296319938592
b0059,977.5802978215285,1178.2266692217406,1932.9077101541188,2583.32541495462
b0060,118.71323101549808,152.53801194208611,633.550611869509,627.5853330540901
b0061,4.4582657665091086,5.730461411068118,8.358645430819731,14.51920670761806
b0062,9.660588028093821,21.462263364877916,45.222187950853105,39.104478097845934
b0063,6.226443445373087,11.583025222694193,22.645831344799173,19.73092363969204
b0064,220.28324873996837,294.93097024949435,366.317376542139,340.9238422210372
b0065,75.32019621073339,94.15700577767936,107.98778877514226,132.8441150551562
b0066,205.99640324803013,347.31756365686863,227.65335240766007,169.44594003057284
b0067,252.5106101536494,296.5073326534563,119.0383098396399,104.20837698253926
b0068,3154.924334515606,4086.1549507324344,3025.645306257846,2339.7666348958646
b0069,225.40588968498116,268.72793150534744,217.04658094855367,239.0569616733832
b0070,118.2198490088513,86.07285718853677,59.2038072205639,84.52815975838207
b0071,20988.483860735396,20951.959688713203,177924.46600111804,221926.23716649172
b0072,37659.64987257601,42393.60381924054,309156.23968718434,332453.11535503773
b0073,26130.436479017513,27842.25848175982,293547.91967548145,376660.1917646578
b0074,21340.96500091131,22795.81333728696,469073.34418553946,609437.7762399609
b0076,21.296324307672627,23.198824115488385,24.839882062578337,22.356776491766656
b0077,6480.526925821034,7395.671127122002,2711.223396205596,2455.965926440049
b0078,3053.268815505292,3022.305383153614,1465.7121119041087,1120.9503087565859
b0080,2202.915346826022,1959.7949861268812,598.3276462739246,581.2299423929747
b0081,1330.542372203868,1122.2082549582883,3891.7906347949774,5091.426810484979
b0082,2533.124126516031,2587.791208862335,5280.96462783102,4730.240457655594
b0083,1011.4289206665428,726.3143471000183,1267.2976808376784,1730.052314142939
b0084,1811.8550872597941,1443.1808813561563,1264.9490565427209,1213.5927752855696
b0085,2325.1964895695437,2906.9565543089343,3771.4338097395894,3665.4408304552567
b0086,2160.782122384349,2407.2834617644826,3276.0826901070614,3050.7777944733875
b0087,971.7808792957509,1061.0513159997645,950.2364639036522,1063.6411147177555
b0088,1962.9103083470534,2363.2007357140333,3018.0427692348394,2674.623734655253
b0089,937.5168647892281,1118.00605344332,859.9864245052561,790.3809725156939
b0090,1065.8100569310786,1223.0662393531509,1608.4861378863507,1513.3705841264655
b0091,1991.150349292976,2465.25718090955,3095.183696073725,2981.670093196099
b0092,2236.8811963732846,2630.804276729055,3153.7331857467047,2910.9070002149615
b0093,2015.7018625982055,2029.7967900872818,4857.3158739434275,4998.32297379655
b0094,1656.226013650715,1889.7225753210896,2630.746472967768,2202.0686687573348
b0095,14145.771324432479,15657.811493733456,32820.53582373116,30742.91273801811
b0096,22572.66735316143,20704.962761533003,35337.0211235292,38673.12903623918
b0097,4576.485114864402,4564.3352380868355,1310.4365771471275,2027.811377330825
b0098,4557.480760601995,4779.040175275964,3819.141608813391,3373.349996097486
b0099,102.8579785826745,64.5087794831935,19.107422233357447,23.245444778782794
b0101,65.16818422697104,149.40046774286853,96.66231856235186,210.16723781687952
b0102,1410.6031095383048,1553.903122508284,2098.5883005866463,1858.304479453775
b0103,783.9321367482954,993.4974639337095,1303.6792889438566,1885.4884692263672
b0104,12218.779549127235,12426.484197741433,6743.8840896814545,5095.707449653884
b0106,18.18901669556278,12.817169472072738,21.23482966544642,19.504778380531118
b0107,28.597059710268667,28.026164835170977,29.37292509276687,37.97763347509333
b0109,1675.727050884758,2137.202858725001,994.3982981102492,1025.2134405772647
b0110,278.42489288486775,249.9086119621452,514.5178894212557,630.9228728314628
b0111,204.34376192507963,226.10869324918596,292.3255382709389,285.5075855745094
b0112,18931.631721121215,20759.7278920752,1005.9105002781922,751.7062161644405
b0113,3544.7843394471174,3892.9479943415877,5270.8937230786305,6314.235639697457
b0114,42246.75898710795,47167.61471363526,181668.92635234288,161617.79422409763
b0115,25629.017928647077,29489.872428266488,119489.7043639612,105352.30042477256
b0116,74374.69331033398,95606.51033910582,77178.55256894698,66089.00509508983
b0117,11.904567325464173,9.586444418190567,43.098909052381764,34.45330015797021
b0118,79948.7610106432,93990.39632975518,21882.98721572554,21155.438912802412
b0119,822.1311016167309,898.3060029845532,1504.7322490820945,1525.1525178912289
b0120,10863.410276637424,11168.605832872125,3370.3805499074256,2639.8658632173942
b0121,8777.789708453367,9685.356055382026,4671.189908854128,4447.124679502036
b0122,1397.3101443403195,1019.8103004492864,380.90221290619,511.5325929830667
b0123,3550.4698019847965,4069.658480272535,1618.2753910892118,1297.504301183996
b0124,2461.0989232351812,3426.315220563996,15357.963410505277,16531.761494223814
b0125,3543.171617232763,3733.961746427945,1908.197987260407,1459.3044021258956
b0126,48520.162679855646,55804.19002190035,110547.8361903938,126275.18657636107
b0127,1009.2597976091398,897.3824459453377,1151.9789728254696,926.8856820259928
b0128,360.4883378194542,366.15159079033117,340.2211584284078,267.5159243081211
b0129,27.494632485357112,21.246462342594235,33.646410597971524,42.01513851833213
b0130,57.302718418653825,85.5262683702704,131.35485282161986,133.36246444440977
b0131,10206.457380701046,7747.845656889229,9351.956541867661,8945.44281247984
b0132,21.323673326593667,14.986932516875806,16.93915060262307,10.35406100295683
b0133,6039.867573719701,5577.580345521499,7870.3787941435385,7754.0368421325975
b0134,5442.78014725174,5960.276974358205,5425.667246868737,4904.048090697017
b0135,12.397360629580376,6.632281651851885,4.6765440065218655,6.577881572522554
b0137,4.020622783513692,9.037593606525085,13.938609388982675,12.15409285779092
b0139,5.464934217647016,4.384142739450949,2.5474951971066764,2.287790925784298
b0142,882.4259808165444,708.1969707083255,105.1260323806003,107.39383058030697
b0143,8732.716327500706,11500.141134426774,5541.349080222868,5250.878912920526
b0144,325.20447222477816,240.78000574367599,184.90332374000678,225.41494048811975
b0145,14296.275030600576,11509.800719302475,20341.218841779893,19116.15095959544
b0146,417.49953440633294,499.20876147545044,1206.089436037183,1114.6582169776043
b0147,233.16328541145165,278.5222555983359,257.86919639694764,275.9393025374505
b0148,220.81839593008277,258.3273529159013,388.6399771931463,367.09279387789246
b0149,663.9741239912389,847.7140675072837,1178.6829098566,1322.5294803202153
b0150,8256.07314005636,8255.515579000257,12390.82065816161,10743.222824318853
b0151,540.3353716416926,605.9376744346134,1257.3622089484168,1418.8060592968181
b0152,485.2644864253767,620.968161377989,900.3059096240946,819.5471024958546
b0153,144.53077261567282,201.0889638229826,275.4457736102846,292.84179640769923
b0154,3807.2973771186303,3840.235085652851,3320.514533729837,3076.8566433055967
b0155,168.25269687835484,232.09079216169502,539.9560723832635,483.74024952837857
b0156,3666.3328882438077,2434.4995684482465,1032.3962596671252,1095.7435321333803
b0157,66.35271528983262,75.22125516680721,36.99406975948849,27.267335041046984
b0158,178.23113541970574,189.430088436239,74.20285246115712,60.71648608791083
b0159,9942.705988946078,9997.835475742764,5220.48735884524,5213.811560847684
b0160,322.51912215266805,349.76037170285787,235.362413955354,177.02882493813377
b0161,2593.332674171927,3179.345146948276,3323.9558280084434,2703.5695223639605
b0162,37.673195322521956,25.445007912479692,41.01442741224473,35.43170904261079
b0163,3261.424051050222,2825.1796823375103,4833.559996048751,4432.922840994749
b0164,44.29829201577572,55.091947523907,10.089785351829066,5.676676137079401
b0166,38850.0372410221,39522.42922845854,20844.01400083229,16336.631424909063
b0167,885.1936756676646,1124.847362577265,1902.9114597652976,1900.7525064888662
b0168,11888.2291636332,11488.440385677175,10185.414319455,9497.466525927468
b0169,263813.64532834396,316617.6164653264,113067.05061957413,101151.13271177978
b0170,67375.77562348035,70675.49010736571,43491.32756089922,39009.04671960536
b0171,6174.460802956339,6635.113017132889,3491.374763891918,3366.519524777994
b0172,29569.480942517064,33267.547967130915,25778.56588017793,24509.60116520712
b0173,208.697876554451,241.6177350914494,643.2177096456387,741.3788798494463
b0174,1810.7189031931182,2347.422861832436,1126.0250746441873,1171.4630402719365
b0175,1419.1643192324752,1572.6516559473935,665.5948989112534,827.0096765263763
b0176,3796.2585044436787,4904.105993618822,2738.131789340876,2580.5556260457274
b0177,12010.054373241926,13318.513357842457,7027.917515105195,6474.209090915211
b0178,17786.537416222814,12527.95110210914,26986.032007198566,28773.241392015127
